"Candidat", "Dépenses totales", "Recettes totales", "Dons", "Apports partis", "Concours en nature", "Autres", "Apports personnel", "Soldes compte de campagne", "Dév (1)", "RFE (2)", "Déc. CNCCFP", "Circoncription", "Plafond de dépenses", "Remboursement maximum"
"M. BLANC Etienne","49 428","61 449","24 749","9 700","0","0","27 000","12 021","0","14 979","A","Ain - 3","66 609 €","33 305 €"
"Mme FAVRE Maryse","0","0","0","0","0","0","0","0","0","0","A","Ain - 3","66 609 €","33 305 €"
"Mme FRANQUET Christine","1 795","1 795","240","0","0","0","1 555","0","0","0","R","Ain - 3","66 609 €","33 305 €"
"Mme GOUTAILLER Dolores","267","432","0","418","14","0","0","165","165","0","A","Ain - 3","66 609 €","33 305 €"
"M. JUSTON Maurice","0","0","0","0","0","0","0","0","0","0","A","Ain - 3","66 609 €","33 305 €"
"Mme RIGAUD Françoise","35 911","39 775","1 250","3 507","4 326","32","30 660","3 864","0","26 796","A","Ain - 3","66 609 €","33 305 €"
"M. WYSSA Olivier","28 785","33 000","0","0","0","0","33 000","4 215","0","0","A","Ain - 3","66 609 €","33 305 €"
"Mme DRACOS Électre","270","434","0","423","11","0","0","164","164","0","A","Ain - 4","69 832 €","34 917 €"
"M. LE MAOUT Hérvé","9 378","9 378","313","0","753","0","8 312","0","0","0","A","Ain - 4","69 832 €","34 917 €"
"çoise","0","0","0","0","0","0","0","0","0","0","A","Ain - 4","69 832 €","34 917 €"
"Mme MICHAUD Christel","0","0","0","0","0","0","0","0","0","0","A","Ain - 4","69 832 €","34 917 €"
"Mme VACLE Catherine","1 220","1 220","1 151","0","69","0","0","0","0","0","A","Ain - 4","69 832 €","34 917 €"
"Mme ARRIBAS Catherine","370","370","0","317","0","0","53","0","0","0","A","Aisne - 1","62 811 €","31 406 €"
"Mme BIBAUT Louisette","0","0","0","0","0","0","0","0","0","0","A","Aisne - 1","62 811 €","31 406 €"
"M. HANSEN-CATTA Paul-henry","2 371","2 371","305","1 034","0","0","1 032","0","0","0","A","Aisne - 1","62 811 €","31 406 €"
"Mlle LAFFIAC Marie-Claude","24","24","0","15","9","0","0","0","0","0","A","Aisne - 1","62 811 €","31 406 €"
"SEPOUX Sylvie","0","0","0","0","0","0","0","0","0","0","A","Aisne - 1","62 811 €","31 406 €"
"M. MATIS Pascal","0","0","0","0","0","0","0","0","0","0","A","Aisne - 1","62 811 €","31 406 €"
"M. PERNELLE Jean-Loup","330","330","0","302","28","0","0","0","0","0","A","Aisne - 1","62 811 €","31 406 €"
"M. ROUX Jean-Louis","31 320","31 320","0","0","0","0","31 320","0","0","31 320","A","Aisne - 1","62 811 €","31 406 €"
"Mme AHMED-ALI Nora","0","0","0","0","0","0","0","0","0","0","A","Aisne - 2","64 399 €","32 200 €"
"Mme AURIGNY Nicole","0","0","0","0","0","0","0","0","0","0","A","Aisne - 2","64 399 €","32 200 €"
"M. BETEMS Alain","0","0","0","0","0","0","0","0","0","0","A","Aisne - 2","64 399 €","32 200 €"
"Mme DESJOYAUX Carmel","0","0","0","0","0","0","0","0","0","0","A","Aisne - 2","64 399 €","32 200 €"
"Mme GUILLET Marie-José","0","0","0","0","0","0","0","0","0","0","A","Aisne - 2","64 399 €","32 200 €"
"M. MOUSSET Franck","39","39","0","15","24","0","0","0","0","0","A","Aisne - 2","64 399 €","32 200 €"
"M. SENE Bertrand","0","0","0","0","0","0","0","0","0","0","A","Aisne - 2","64 399 €","32 200 €"
"M. WARGNIER Daniel","0","0","0","0","0","0","0","0","0","0","A","Aisne - 2","64 399 €","32 200 €"
"Mlle ZANDITENAS Anne","263","263","0","240","23","0","0","0","0","0","A","Aisne - 2","64 399 €","32 200 €"
"M. BALLIGAND Jean-Pierre","34 797","34 797","8 547","900","7 283","0","18 067","0","0","18 067","A","Aisne - 3","62 579 €","31 290 €"
"Mme BALLOT Véronique","0","0","0","0","0","0","0","0","0","0","A","Aisne - 3","62 579 €","31 290 €"
"Mme CHOAIN Monique","0","0","0","0","0","0","0","0","0","0","A","Aisne - 3","62 579 €","31 290 €"
"Mme DELATTRE Valérie","0","0","0","0","0","0","0","0","0","0","A","Aisne - 3","62 579 €","31 290 €"
"Mme DEVAUX Ginette","2 727","2 727","0","2 727","0","0","0","0","0","0","A","Aisne - 3","62 579 €","31 290 €"
"Mme FAUVERGUE Nathalie","31 013","31 013","0","0","0","0","31 013","0","0","31 013","A","Aisne - 3","62 579 €","31 290 €"
"Mme FLAMENGT Andrée","0","0","0","0","0","0","0","0","0","0","A","Aisne - 3","62 579 €","31 290 €"
"M. LEGRIS Edwin","16 070","17 180","150","13 482","2 438","0","1 110","1 110","0","0","A","Aisne - 3","62 579 €","31 290 €"
"Mlle MAILLET Isabelle","0","0","0","0","0","0","0","0","0","0","A","Aisne - 3","62 579 €","31 290 €"
"M. MEURA Frédéric","41 103","41 103","750","9 700","0","0","30 653","0","0","30 653","A","Aisne - 3","62 579 €","31 290 €"
"M. PAILLER Marc","277","277","0","257","20","0","0","0","0","0","A","Aisne - 3","62 579 €","31 290 €"
"Mme REMY Raymonde","0","0","0","0","0","0","0","0","0","0","A","Aisne - 3","62 579 €","31 290 €"
"M. SEVERAC Dimitri","48","48","0","15","33","0","0","0","0","0","A","Aisne - 3","62 579 €","31 290 €"
"M. BESBAS Houssen","0","0","0","0","0","0","0","0","0","0","A","Aisne - 4","65 097 €","32 549 €"
"M. BOCQUET Vincent","0","0","0","0","0","0","0","0","0","0","A","Aisne - 4","65 097 €","32 549 €"
"M. DESALLANGRE Jacques","52 569","52 569","0","950","0","0","51 619","0","0","32 549","A","Aisne - 4","65 097 €","32 549 €"
"Mme LETRILLART Isabelle","2 800","2 800","2 320","0","0","0","480","0","0","480","A","Aisne - 4","65 097 €","32 549 €"
"M. LIÉNAUX Henri","0","0","0","0","0","0","0","0","0","0","A","Aisne - 4","65 097 €","32 549 €"
"M. NATANSON Dominique","24","24","0","15","9","0","0","0","0","0","A","Aisne - 4","65 097 €","32 549 €"
"Mme VOISIN Laëtitia","335","335","0","301","34","0","0","0","0","0","A","Aisne - 4","65 097 €","32 549 €"
"Mme ALLEGRAUD Aude","0","0","0","0","0","0","0","0","0","0","A","Aisne - 5","64 095 €","32 048 €"
"M. ALLIOUX Jean-Luc","7 090","7 090","320","3 085","0","0","3 685","0","0","0","A","Aisne - 5","64 095 €","32 048 €"
"M. BRIFFAUT Franck","30 713","30 713","0","0","0","0","30 713","0","0","30 713","A","Aisne - 5","64 095 €","32 048 €"
"Thérèse","496","496","0","389","0","0","107","0","0","0","A","Aisne - 5","64 095 €","32 048 €"
"Mme DERYCKERE Annick","0","0","0","0","0","0","0","0","0","0","A","Aisne - 5","64 095 €","32 048 €"
"Mme FOURQUET Brigitte","24","24","0","15","9","0","0","0","0","0","A","Aisne - 5","64 095 €","32 048 €"
"Mme GERET Sylvie","235","235","0","232","3","0","0","0","0","0","A","Aisne - 5","64 095 €","32 048 €"
"M. PAPRITZ Olivier","0","0","0","0","0","0","0","0","0","0","A","Aisne - 5","64 095 €","32 048 €"
"M. REY Marc-Hervé","0","0","0","0","0","0","0","0","0","0","A","Aisne - 5","64 095 €","32 048 €"
"M. AUVRAY Hugues","360","360","300","0","0","0","60","0","0","0","A","Allier - 1","58 602 €","29 301 €"
"Mme BEAUNIEUX Michèle","18","65","0","15","0","0","50","47","0","0","A","Allier - 1","58 602 €","29 301 €"
"Mme CORGIE Suzanne","0","0","0","0","0","0","0","0","0","0","A","Allier - 1","58 602 €","29 301 €"
"M. DARMANGEAT Christophe","651","651","0","651","0","0","0","0","0","0","A","Allier - 1","58 602 €","29 301 €"
"Mlle DE CONDÉ Carla","2 035","2 035","0","0","0","0","2 035","0","0","0","A","Allier - 1","58 602 €","29 301 €"
"M. DEVILLE Serge","0","0","0","0","0","0","0","0","0","0","A","Allier - 1","58 602 €","29 301 €"
"Mme GENOT Judith","0","0","0","0","0","0","0","0","0","0","A","Allier - 1","58 602 €","29 301 €"
"M. GUILLAUMIN Jean-Marie","0","0","0","0","0","0","0","0","0","0","A","Allier - 1","58 602 €","29 301 €"
"M. MATICHARD Gérard","583","590","50","140","0","0","400","7","0","0","A","Allier - 1","58 602 €","29 301 €"
"Mme MIALLET Michelle","0","0","0","0","0","0","0","0","0","0","A","Allier - 1","58 602 €","29 301 €"
"M. PÉRISSOL Pierre-André","42 387","42 387","1 300","10 700","111","0","30 276","0","0","29 301","A","Allier - 1","58 602 €","29 301 €"
"M. ALBERT Michel","0","0","0","0","0","0","0","0","0","0","A","Allier - 2","60 731 €","30 366 €"
"Mme AUBERT-DASSE Claudy","636","636","80","330","0","0","226","0","0","0","A","Allier - 2","60 731 €","30 366 €"
"Mme CORNET Monique","0","0","0","0","0","0","0","0","0","0","A","Allier - 2","60 731 €","30 366 €"
"Mlle DREYFUS Véronique","314","314","0","263","51","0","0","0","0","0","A","Allier - 2","60 731 €","30 366 €"
"Mme FALCON Agnès","235","300","0","0","0","0","300","65","0","0","A","Allier - 2","60 731 €","30 366 €"
"Mlle LAZAREVIC Vesna","0","0","0","0","0","0","0","0","0","0","A","Allier - 2","60 731 €","30 366 €"
"M. LEGOUTIÈRE Pierre-Antoine","9 933","33 481","0","15 000","0","0","18 481","23 548","5 067","0","A","Allier - 2","60 731 €","30 366 €"
"M. LESTERLIN Bernard","56 101","56 101","7 696","9 552","3 669","0","35 184","0","0","30 366","A","Allier - 2","60 731 €","30 366 €"
"M. MORET Jean-Paul","0","0","0","0","0","0","0","0","0","0","A","Allier - 2","60 731 €","30 366 €"
"M. NGUYEN Christian","24","24","0","15","9","0","0","0","0","0","A","Allier - 2","60 731 €","30 366 €"
"Mme NICOD Marie-Thérèse","0","0","0","0","0","0","0","0","0","0","A","Allier - 2","60 731 €","30 366 €"
"M. RAYNAUD Michel","0","0","0","0","0","0","0","0","0","0","A","Allier - 2","60 731 €","30 366 €"
"M. BAUDRILLER Jean-Louis","22 351","22 351","0","0","0","0","22 351","0","0","0","A","Allier - 3","60 904 €","30 452 €"
"M. BOYER Marc","0","0","0","0","0","0","0","0","0","0","A","Allier - 3","60 904 €","30 452 €"
"Mme CHAMBEAU Anne-Marie","769","769","0","225","176","0","368","0","0","0","A","Allier - 3","60 904 €","30 452 €"
"nique","0","0","0","0","0","0","0","0","0","0","A","Allier - 3","60 904 €","30 452 €"
"Mme GAILLARDON Françoise","15","15","0","15","0","0","0","0","0","0","A","Allier - 3","60 904 €","30 452 €"
"M. GUILLAUMIN Gérard-Pierre","0","0","0","0","0","0","0","0","0","0","A","Allier - 3","60 904 €","30 452 €"
"M. JOLY Claude","26 681","26 766","930","0","131","0","25 705","85","0","0","R","Allier - 3","60 904 €","30 452 €"
"M. LEBEL Bernard","296","296","0","293","3","0","0","0","0","0","A","Allier - 3","60 904 €","30 452 €"
"Mme MARNAY Mireille","0","0","0","0","0","0","0","0","0","0","A","Allier - 3","60 904 €","30 452 €"
"M. SIMON Yves","48 298","48 298","14 180","1 700","782","0","31 636","0","0","30 452","A","Allier - 3","60 904 €","30 452 €"
"M. DE CONDÉ Louis","24 424","24 424","100","0","0","0","24 324","0","0","0","A","Allier - 4","60 139 €","30 070 €"
"M. MALHURET Claude","43 360","43 360","5 094","9 700","1 395","0","27 171","0","0","27 171","A","Allier - 4","60 139 €","30 070 €"
"M. MAYADOUX Jacques","0","0","0","0","0","0","0","0","0","0","A","Allier - 4","60 139 €","30 070 €"
"M. PEYRON Albert","0","0","0","0","0","0","0","0","0","0","A","Allier - 4","60 139 €","30 070 €"
"Mme PICOULEAU Nadine","0","0","0","0","0","0","0","0","0","0","A","Allier - 4","60 139 €","30 070 €"
"Mme ROCHE Monique","267","267","0","263","4","0","0","0","0","0","A","Allier - 4","60 139 €","30 070 €"
"M. RONDEPIERRE Daniel","584","584","200","155","0","0","229","0","0","0","A","Allier - 4","60 139 €","30 070 €"
"M. VACHERON Thomas","32","32","0","15","17","0","0","0","0","0","A","Allier - 4","60 139 €","30 070 €"
"Mlle ALONSO Caroline","248","248","0","248","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 1","56 779 €","28 390 €"
"M. BIANCO Jean-Louis","22 906","22 906","4 390","1 684","5 909","0","10 923","0","0","10 923","A","Alpes-de-Haute-Provence - 1","56 779 €","28 390 €"
"Micheline","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 1","56 779 €","28 390 €"
"M. CHUISANO Noël","2 538","2 538","0","2 538","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 1","56 779 €","28 390 €"
"Mme DANIEL Monique","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 1","56 779 €","28 390 €"
"Mlle HERNANDEZ Aurore","6 594","6 800","700","6 100","0","0","0","206","0","0","A","Alpes-de-Haute-Provence - 1","56 779 €","28 390 €"
"M. JEANSELME Bernard","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 1","56 779 €","28 390 €"
"Mme LAFON Venise","15","15","0","15","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 1","56 779 €","28 390 €"
"Mme LORENZELLI Marie-France","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 1","56 779 €","28 390 €"
"Mlle PIECHOTA Catherine","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 1","56 779 €","28 390 €"
"M. SILVY Jean-Claude","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 1","56 779 €","28 390 €"
"Mme VALLON Martine","424","424","0","424","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 1","56 779 €","28 390 €"
"M. CAUVIN Jean-Claude","4 638","6 760","1 760","5 000","0","0","0","2 122","2 122","0","A","Alpes-de-Haute-Provence - 2","57 603 €","28 802 €"
"M. DEJASMIN Xavier","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 2","57 603 €","28 802 €"
"Mme DENKO Karine","515","515","0","15","500","0","0","0","0","0","A","Alpes-de-Haute-Provence - 2","57 603 €","28 802 €"
"Mme DOUZON Jeannine","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 2","57 603 €","28 802 €"
"M. GARNON Patrick","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 2","57 603 €","28 802 €"
"M. ILLY Max","210","210","0","210","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 2","57 603 €","28 802 €"
"Mme RAPHEL Véronique","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 2","57 603 €","28 802 €"
"M. RAVERA Gilles","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 2","57 603 €","28 802 €"
"M. SENES Claude","40","40","40","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 2","57 603 €","28 802 €"
"M. SPAGNOU Daniel","40 530","40 530","2 560","9 700","3 829","0","24 441","0","0","24 441","A","Alpes-de-Haute-Provence - 2","57 603 €","28 802 €"
"Mme BERGER Karine","41 194","41 194","3 980","6 900","2 748","1 052","26 514","0","0","26 514","A","Hautes-Alpes - 1","57 013 €","28 507 €"
"M. DAUDON Jacques-Henri","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 1","57 013 €","28 507 €"
"M. DUPRÉ Denis","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 1","57 013 €","28 507 €"
"M. EYRAUD Jean-Claude","36 139","36 845","7 850","0","0","0","28 995","706","0","28 289","A","Hautes-Alpes - 1","57 013 €","28 507 €"
"Mme FAURE Colette","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 1","57 013 €","28 507 €"
"M. FAURE Patrick","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 1","57 013 €","28 507 €"
"Mme KRIEF Brigitte","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 1","57 013 €","28 507 €"
"Aurore","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 1","57 013 €","28 507 €"
"Mme LELIEVRE-MAAZIZ Martine","18 128","21 200","0","200","0","0","21 000","3 072","0","0","A","Hautes-Alpes - 1","57 013 €","28 507 €"
"Mme MARTINEZ Henriette","44 624","44 624","15 338","5 700","1 410","0","22 176","0","0","22 176","A","Hautes-Alpes - 1","57 013 €","28 507 €"
"Marcelle","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 1","57 013 €","28 507 €"
"Mlle TARBOURIECH Marie","3 276","3 276","2 937","339","0","0","0","0","0","0","R","Hautes-Alpes - 1","57 013 €","28 507 €"
"Mlle THOMAS Elisabeth","280","280","0","269","11","0","0","0","0","0","A","Hautes-Alpes - 1","57 013 €","28 507 €"
"M. BAYROU Alain","51 472","54 773","4 185","20 560","1 572","0","28 456","3 301","0","25 155","A","Hautes-Alpes - 2","54 158 €","27 080 €"
"M. BOBIN Claude","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 2","54 158 €","27 080 €"
"M. BOUTEILLE Jean-Pierre","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 2","54 158 €","27 080 €"
"M. CHABOY Vincent","39","39","0","39","0","0","0","0","0","0","A","Hautes-Alpes - 2","54 158 €","27 080 €"
"Mme EYMEOUD Chantal","6 822","6 822","1 130","4 000","0","0","1 692","0","0","1 692","A","Hautes-Alpes - 2","54 158 €","27 080 €"
"M. GARCIA André","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 2","54 158 €","27 080 €"
"M. GIRAUD Joël","47 252","47 252","330","0","4 527","0","42 395","0","0","27 079","A","Hautes-Alpes - 2","54 158 €","27 080 €"
"M. GOLLION Jacques","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 2","54 158 €","27 080 €"
"M. PELLION Michel louis","15 796","16 693","0","100","0","0","16 593","897","0","0","A","Hautes-Alpes - 2","54 158 €","27 080 €"
"Mme PERRIN Monique","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 2","54 158 €","27 080 €"
"M. SAUGÉ Gérard","294","294","0","285","9","0","0","0","0","0","A","Hautes-Alpes - 2","54 158 €","27 080 €"
"M. ALLEMAND Patrick","31 613","31 613","2 217","900","6 276","0","22 220","0","0","22 220","A","Alpes-Maritimes - 1","60 883 €","30 442 €"
"Mme BENKEMOUN Agnès","229","229","0","225","4","0","0","0","0","0","A","Alpes-Maritimes - 1","60 883 €","30 442 €"
"Mme FERRIÈRE Mounia","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 1","60 883 €","30 442 €"
"M. FRANÇOIS Michel","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 1","60 883 €","30 442 €"
"M. FRANCOIS Rémy","23 111","23 111","0","0","0","0","23 111","0","0","23 111","A","Alpes-Maritimes - 1","60 883 €","30 442 €"
"Mlle GOMEZ Ambre","385","820","820","0","0","0","0","435","435","0","A","Alpes-Maritimes - 1","60 883 €","30 442 €"
"M. GOVERNATORI Jean-Marc","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 1","60 883 €","30 442 €"
"M. INJEY Robert","5 681","5 681","0","2 120","0","0","3 561","0","0","0","A","Alpes-Maritimes - 1","60 883 €","30 442 €"
"Mme LISBONA Danielle","18 834","19 180","320","0","289","0","18 571","346","0","0","R","Alpes-Maritimes - 1","60 883 €","30 442 €"
"M. RICERCHI Christophe","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 1","60 883 €","30 442 €"
"M. RIVIÈRE Jérôme","20 956","20 956","1 000","15 000","412","0","4 544","0","0","4 544","A","Alpes-Maritimes - 1","60 883 €","30 442 €"
"M. VARDON Philippe","6 241","6 241","2 980","0","0","0","3 261","0","0","0","R","Alpes-Maritimes - 1","60 883 €","30 442 €"
"M. ALAUZET Stéphane","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 2","62 369 €","31 185 €"
"nique","16 370","16 370","440","900","520","0","14 510","0","0","14 510","A","Alpes-Maritimes - 2","62 369 €","31 185 €"
"Mme GIMENO Danièle","1 132","1 132","0","840","0","0","292","0","0","0","A","Alpes-Maritimes - 2","62 369 €","31 185 €"
"Mlle KHAN Rachel","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 2","62 369 €","31 185 €"
"M. LEBOUCHER Jacques","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 2","62 369 €","31 185 €"
"M. LŒUILLET Benoit","4 083","4 083","3 000","0","0","0","1 083","0","0","0","R","Alpes-Maritimes - 2","62 369 €","31 185 €"
"M. MARKIEL Joseph","268","268","0","263","5","0","0","0","0","0","A","Alpes-Maritimes - 2","62 369 €","31 185 €"
"Muriel","16 883","25 161","15 110","10 050","0","0","1","8 278","8 277","0","A","Alpes-Maritimes - 2","62 369 €","31 185 €"
"Mme MARTINAUX Joelle","2 105","2 105","1 305","0","0","0","800","0","0","0","A","Alpes-Maritimes - 2","62 369 €","31 185 €"
"M. PISONI Jean-Pierre","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 2","62 369 €","31 185 €"
"M. RIGOLAT Joël","3 848","3 848","200","0","2 648","0","1 000","0","0","0","A","Alpes-Maritimes - 2","62 369 €","31 185 €"
"Mlle TIECHE Fanny","215","215","0","15","200","0","0","0","0","0","A","Alpes-Maritimes - 2","62 369 €","31 185 €"
"Mlle AOUASSI Nadia","3 088","120","120","0","0","0","0","–2968","0","0","R","Alpes-Maritimes - 3","64 234 €","32 118 €"
"M. ARGENTIERI Pierre","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 3","64 234 €","32 118 €"
"M. BACINO Laurent","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 3","64 234 €","32 118 €"
"M. BAELE Jean-Marie","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 3","64 234 €","32 118 €"
"M. DELLA SUDDA Bruno","1 680","1 680","1 545","135","0","0","0","0","0","0","A","Alpes-Maritimes - 3","64 234 €","32 118 €"
"M. GAECHTER Rémy","488","488","0","341","0","0","147","0","0","0","A","Alpes-Maritimes - 3","64 234 €","32 118 €"
"M. GARDIEN Serge","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 3","64 234 €","32 118 €"
"M. GUEZ Élie","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 3","64 234 €","32 118 €"
"Mlle JOMAT Elodie","18 624","18 624","0","0","0","0","18 624","0","0","18 624","A","Alpes-Maritimes - 3","64 234 €","32 118 €"
"Mme MOUTON Adeline","5 224","5 224","1 430","726","0","0","3 068","0","0","0","A","Alpes-Maritimes - 3","64 234 €","32 118 €"
"Mme PEREIRA Marie-Josée","291","291","0","288","3","0","0","0","0","0","A","Alpes-Maritimes - 3","64 234 €","32 118 €"
"M. SALLES Rudy","28 521","28 521","540","2 050","12 411","0","13 520","0","0","13 520","A","Alpes-Maritimes - 3","64 234 €","32 118 €"
"Mme BACCELLI Monique","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 4","61 700 €","30 850 €"
"M. BARILLOT Xavier","356","356","0","353","3","0","0","0","0","0","A","Alpes-Maritimes - 4","61 700 €","30 850 €"
"Michèle","420","450","100","350","0","0","0","30","30","0","A","Alpes-Maritimes - 4","61 700 €","30 850 €"
"M. BRIAND Philippe","6 564","6 564","0","0","977","0","5 587","0","0","5 587","A","Alpes-Maritimes - 4","61 700 €","30 850 €"
"M. FERRUCCIO Patrick","215","215","0","15","200","0","0","0","0","0","A","Alpes-Maritimes - 4","61 700 €","30 850 €"
"M. FIORESE René","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 4","61 700 €","30 850 €"
"Mme GAIGNAIRE Nedjia","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 4","61 700 €","30 850 €"
"M. HERVÉ Alain","262","262","0","262","0","0","0","0","0","0","A","Alpes-Maritimes - 4","61 700 €","30 850 €"
"Mme HOURTIC Brigitte","3 104","3 104","0","0","0","0","3 104","0","0","0","A","Alpes-Maritimes - 4","61 700 €","30 850 €"
"Mme MATHIEU Monique","25 915","25 915","0","0","0","0","25 915","0","0","25 915","A","Alpes-Maritimes - 4","61 700 €","30 850 €"
"Mlle PEREZ Laetitia","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 4","61 700 €","30 850 €"
"Mme BAËLE Rose-Marie","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 5","64 698 €","32 350 €"
"Mme BARTOLI Danièle","296","296","0","233","63","0","0","0","0","0","A","Alpes-Maritimes - 5","64 698 €","32 350 €"
"M. CUTURELLO Paul","22 972","22 972","0","900","4 324","0","17 748","0","0","17 748","A","Alpes-Maritimes - 5","64 698 €","32 350 €"
"M. ESTROSI Christian","49 257","49 393","26 265","22 277","851","0","0","136","136","0","A","Alpes-Maritimes - 5","64 698 €","32 350 €"
"M. GABRY Serge","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 5","64 698 €","32 350 €"
"Mme GACEM Pascale","215","215","0","15","200","0","0","0","0","0","A","Alpes-Maritimes - 5","64 698 €","32 350 €"
