"candidat","depensestotales","recettestotales","dons","appartspartis","concoursnature","autres","perso","soldescompte","DEV","RFE","DECCNCCFP"
"Mme FRANQUET Christine","1 795","1 795","240","0","0","0","1 555","0","0","0","R"
"Mme GOUTAILLER Dolores","267","432","0","418","14","0","0","165","165","0","A"
"M. JUSTON Maurice","0","0","0","0","0","0","0","0","0","0","A"
"M. MARMORAT Jacques",,,,,,,,,"0","0","AD"
"Mme RIGAUD Françoise","35 911","39 775","1 250","3 507","4 326","32","30 660","3 864","0","26 796","A"
"M. VIRARD Philippe","2 393","2 635","85","0","0","0","2 550","242","0","0","HD"
"M. WYSSA Olivier","28 785","33 000","0","0","0","0","33 000","4 215","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"8","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DU 10 JUIN 2007",,,"<i>Département : Ain </i>
<i>Circoncription : Ain - 4</i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 69 832","€",,,,,,,,,,
"Remboursement maximum : 34 917",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme BURGAT Jacqueline","952
906","952
906","150
150","0
0","0
0","0
0","802
756","0
0","0","0","AR"
"M. CORMORECHE Pierre","4 245
4 202","4 456
4 413","280
280","0
0","0
0","0
0","4 176
4 133","211
211","0","3 922","AR"
"M .   D E   L A C H E I S S E R I E",,,,,,,,,,,
"Jean-Loup","28 933
28 632","34 744
34 443","0
0","0
0","0
0","0
0","34 744
34 443","5 811
5 811","0","28 632","AR"
"Mme DRACOS Électre","270","434","0","423","11","0","0","164","164","0","A"
"M. GREFFET Christophe","53 323
50 931","53 323
50 931","21 495
21 495","1 547
1 547","1 972
1 972","0
0","28 309
25 917","0
0","0","25 917","AR"
"M. LE MAOUT Hérvé","9 378","9 378","313","0","753","0","8 312","0","0","0","A"
"Mme MANDRAS Marie-Fran-",,,,,,,,,,,
"çoise","0","0","0","0","0","0","0","0","0","0","A"
"Mme MICHAUD Christel","0","0","0","0","0","0","0","0","0","0","A"
"M. MONTESSUIT Claude","2 595
2 464
2 435","4 087
4 087","3 580
3 580","500
500","0
0","0
0","7
7
0","1 492
1 623","1 645","0","AR"
"Mme VACLE Catherine","1 220","1 220","1 151","0","69","0","0","0","0","0","A"
"M. VOISIN Michel","39 655
39 604","39 655
39 604","2 485
2 485","9 700
9 700","0
0","0
0","27 470
27 419","0
0","0","27 419","AR"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Aisne - 1</i>","<i>Département : Aisne </i>",,"<i>er</i>",,,,,
"Plafond de dépenses : 62 811","€",,,,,,,,,,
"Remboursement maximum : 31 406",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme ARRIBAS Catherine","370","370","0","317","0","0","53","0","0","0","A"
"Mme BIBAUT Louisette","0","0","0","0","0","0","0","0","0","0","A"
"Mme BLANCHARD-DOUCHAIN",,,,,,,,,,,
"Gaëdic","41 095
40 668","41 095
40 668","8 345
8 345","10 700
10 700","756
756","0
0","21 294
20 867","0
0","0","20 867","AR"
"Mme BRUNET Claudine","7 356
2 056","7 356
6 360","1 355
1 355","5 005
5 005","0
0","0
0","996
0","0
4 304","0","0","AR"
"M. DELHAYE Eric","12 807
12 747","12 807
12 747","9 260
9 260","0
0","0
0","0
0","3 547
3 487","0
0","0","0","AR"
"M. DOSIERE René","49 851
49 438","49 851
49 438","14 000
14 000","0
0","1 262
1 262","0
0","34 589
34 176","0
0","0","31 406","AR"
"M. HANSEN-CATTA Paul-henry","2 371","2 371","305","1 034","0","0","1 032","0","0","0","A"
"M. KARIMET Fawaz","28 714
27 854","28 714
27 854","7 105
7 105","900
900","0
0","0
0","20 709
19 849","0
0","0","19 849","AR"
"Mlle LAFFIAC Marie-Claude","24","24","0","15","9","0","0","0","0","0","A"
"Mme LEGRAS ÉPOUSE CHAS-",,,,,,,,,,,
"SEPOUX Sylvie","0","0","0","0","0","0","0","0","0","0","A"
"M. MATIS Pascal","0","0","0","0","0","0","0","0","0","0","A"
"M. PERNELLE Jean-Loup","330","330","0","302","28","0","0","0","0","0","A"
"M. ROUX Jean-Louis","31 320","31 320","0","0","0","0","31 320","0","0","31 320","A"
"10","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".",,,,,,,,,,,
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. TREVILLOT Nicolas","11 756
8 395","11 763
8 402","6 500
6 500","0
0","0
0","0
0","5 263
1 902","7
7","0","0","AR"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DU 10 JUIN 2007",,"<i>Circoncription : Aisne - 2</i>","<i>Département : Aisne </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 64 399","€",,,,,,,,,,
"Remboursement maximum : 32 200",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme AHMED-ALI Nora","0","0","0","0","0","0","0","0","0","0","A"
"Mme AURIGNY Nicole","0","0","0","0","0","0","0","0","0","0","A"
"M. BAHADDOU Ahmed",,,,,,,,,"0","0","AD"
"M. BERTRAND Xavier","55 769
55 696","56 048
55 975","28 713
28 713","9 700
9 700","1 135
1 135","0
0","16 500
16 427","279
279","0","16 148","AR"
"M. BETEMS Alain","0","0","0","0","0","0","0","0","0","0","A"
"Mme DALL’ARA Michèle","31 341
31 033","31 341
31 033","0
0","0
0","0
0","0
0","31 341
31 033","0
0","0","31 033","AR"
"Mme DESJOYAUX Carmel","0","0","0","0","0","0","0","0","0","0","A"
"Mme GRZEGRZULKA Odette","33 706
32 595","33 706
32 595","5 170
5 170","900
900","920
920","0
0","26 716
25 605","0
0","0","25 605","AR"
"M. GRZEZICZAK Freddy","2 970
2 750","3 000
3 000","1 500
1 500","1 500
1 500","0
0","0
0","0
0","30
250","250","0","AR"
"Mme GUILLET Marie-José","0","0","0","0","0","0","0","0","0","0","A"
"M. MOUSSET Franck","39","39","0","15","24","0","0","0","0","0","A"
"M. SENE Bertrand","0","0","0","0","0","0","0","0","0","0","A"
"M. TOURNAY Jean-Luc","17 415
12 248","17 415
17 415","13 105
13 105","4 310
4 310","0
0","0
0","0
0","0
5 167","770","0","AR"
"M. WARGNIER Daniel","0","0","0","0","0","0","0","0","0","0","A"
"12","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".",,,,,,,,,,,
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mlle ZANDITENAS Anne","263","263","0","240","23","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Aisne - 3</i>","<i>Département : Aisne </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 62 579","€",,,,,,,,,,
"Remboursement maximum : 31 290",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. BALLIGAND Jean-Pierre","34 797","34 797","8 547","900","7 283","0","18 067","0","0","18 067","A"
"Mme BALLOT Véronique","0","0","0","0","0","0","0","0","0","0","A"
"Mme CHOAIN Monique","0","0","0","0","0","0","0","0","0","0","A"
"Mme DELATTRE Valérie","0","0","0","0","0","0","0","0","0","0","A"
"Mme DEVAUX Ginette","2 727","2 727","0","2 727","0","0","0","0","0","0","A"
"Mme FAUVERGUE Nathalie","31 013","31 013","0","0","0","0","31 013","0","0","31 013","A"
"Mme FLAMENGT Andrée","0","0","0","0","0","0","0","0","0","0","A"
"M. LEGRIS Edwin","16 070","17 180","150","13 482","2 438","0","1 110","1 110","0","0","A"
"Mlle MAILLET Isabelle","0","0","0","0","0","0","0","0","0","0","A"
"M. MEURA Frédéric","41 103","41 103","750","9 700","0","0","30 653","0","0","30 653","A"
"M. PAILLER Marc","277","277","0","257","20","0","0","0","0","0","A"
"Mme REMY Raymonde","0","0","0","0","0","0","0","0","0","0","A"
"M. SEVERAC Dimitri","48","48","0","15","33","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"14","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Aisne - 4</i>","<i>Département : Aisne </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 65 097","€",,,,,,,,,,
"Remboursement maximum : 32 549",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. BESBAS Houssen","0","0","0","0","0","0","0","0","0","0","A"
"M. BOCQUET Vincent","0","0","0","0","0","0","0","0","0","0","A"
"M. DE SAINT-JUST Wallerand","31 628
31 191","32 887
32 450","0
0","0
0","0
0","0
0","32 887
32 450","1 259
1 259","0","31 191","AR"
"M. DESALLANGRE Jacques","52 569","52 569","0","950","0","0","51 619","0","0","32 549","A"
"M. ENGUEHARD Philippe",,,,,,,,,"0","0","AD"
"Mlle LE FLÉCHER Claire","30 302
28 901","30 302
28 901","2 205
2 205","0
0","1 500
1 500","0
0","26 597
25 196","0
0","0","25 196","AR"
"Mme LETRILLART Isabelle","2 800","2 800","2 320","0","0","0","480","0","0","480","A"
"M. LIÉNAUX Henri","0","0","0","0","0","0","0","0","0","0","A"
"M. NATANSON Dominique","24","24","0","15","9","0","0","0","0","0","A"
"M. SABLÉ Yannick","8 372
8 372","13 650
8 537","650
650","13 000
7 887","0
0","0
0","0
0","5 278
165","165","0","AR"
"M m e   T H U I N - M A C H E R E Z",,,,,,,,,,,
"Brigitte","32 925
32 655","32 925
32 655","9 435
9 435","10 700
10 700","0
0","528
528","12 262
11 992","0
0","0","11 992","AR"
"Mme VOISIN Laëtitia","335","335","0","301","34","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Aisne - 5</i>","<i>Département : Aisne </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 64 095","€",,,,,,,,,,
"Remboursement maximum : 32 048",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme ALLEGRAUD Aude","0","0","0","0","0","0","0","0","0","0","A"
"M. ALLIOUX Jean-Luc","7 090","7 090","320","3 085","0","0","3 685","0","0","0","A"
"M. BELLIERE Renaud","13 169
13 169","20 860
15 914","0
0","482
482","150
150","0
0","20 228
15 282","7 691
2 745","0","0","AR"
"M. BRIFFAUT Franck","30 713","30 713","0","0","0","0","30 713","0","0","30 713","A"
"M m e   C H A M B A U D   M a r i e -",,,,,,,,,,,
"Thérèse","496","496","0","389","0","0","107","0","0","0","A"
"Mme DERYCKERE Annick","0","0","0","0","0","0","0","0","0","0","A"
"Mme FOURQUET Brigitte","24","24","0","15","9","0","0","0","0","0","A"
"Mme GERET Sylvie","235","235","0","232","3","0","0","0","0","0","A"
"M. JOURDAIN Dominique","52 864
52 453","52 864
52 453","10 594
10 594","1 561
1 561","3 074
3 074","18
18","37 617
37 206","0
0","0","32 048","AR"
"M. KRABAL Jacques","53 857
50 525","53 857
50 525","1 120
1 120","10 750
10 750","0
0","33
33","41 954
38 622","0
0","0","32 048","AR"
"M. PAPRITZ Olivier","0","0","0","0","0","0","0","0","0","0","A"
"M. REY Marc-Hervé","0","0","0","0","0","0","0","0","0","0","A"
"Mme VASSEUR Isabelle","53 619
53 407","53 619
53 407","10 125
10 125","9 700
9 700","6 805
6 805","0
0","26 989
26 777","0
0","0","26 777","AR"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"16","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Allier - 1</i>","<i>Département : Allier </i>",,"<i>er</i>",,,,,
"Plafond de dépenses : 58 602","€",,,,,,,,,,
"Remboursement maximum : 29 301",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. AUVRAY Hugues","360","360","300","0","0","0","60","0","0","0","A"
"Mme BEAUNIEUX Michèle","18","65","0","15","0","0","50","47","0","0","A"
"M. CABANNE Jacques","27 311
25 630","27 311
25 630","0
0","0
0","0
0","0
0","27 311
25 630","0
0","0","25 630","AR"
"M. CHAMBEFORT Guy","37 516
36 172","47 068
45 724","19 366
19 366","0
0","0
0","3
3","27 699
26 355","9 552
9 552","0","16 803","AR"
"Mme CORGIE Suzanne","0","0","0","0","0","0","0","0","0","0","A"
"M. DARMANGEAT Christophe","651","651","0","651","0","0","0","0","0","0","A"
"Mlle DE CONDÉ Carla","2 035","2 035","0","0","0","0","2 035","0","0","0","A"
"Mme DEMURE Danielle","13 711
13 640","13 711
13 640","210
210","0
0","0
0","0
0","13 501
13 430","0
0","0","13 430","AR"
"M. DEVILLE Serge","0","0","0","0","0","0","0","0","0","0","A"
"Mme GENOT Judith","0","0","0","0","0","0","0","0","0","0","A"
"M. GUILLAUMIN Jean-Marie","0","0","0","0","0","0","0","0","0","0","A"
"M. MATICHARD Gérard","583","590","50","140","0","0","400","7","0","0","A"
"Mlle MAYRARGUE Delphine","30 292
29 321","30 292
29 321","0
0","1 326
1 326","4 152
4 152","0
0","24 814
23 843","0
0","0","23 843","AR"
"Mme MIALLET Michelle","0","0","0","0","0","0","0","0","0","0","A"
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,
".",,,,,,,,,,,
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. PÉRISSOL Pierre-André","42 387","42 387","1 300","10 700","111","0","30 276","0","0","29 301","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"18","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Allier - 2</i>","<i>Département : Allier </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 60 731","€",,,,,,,,,,
"Remboursement maximum : 30 366",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. ALBERT Michel","0","0","0","0","0","0","0","0","0","0","A"
"Mme AUBERT-DASSE Claudy","636","636","80","330","0","0","226","0","0","0","A"
"Mme CORNET Monique","0","0","0","0","0","0","0","0","0","0","A"
"Mlle DREYFUS Véronique","314","314","0","263","51","0","0","0","0","0","A"
"M. DUGLÉRY Daniel","51 301
48 469","51 405
48 573","26 705
26 705","9 700
9 700","0
0","0
0","15 000
12 168","104
104","0","12 064","AR"
"Mme FALCON Agnès","235","300","0","0","0","0","300","65","0","0","A"
"Mlle LAZAREVIC Vesna","0","0","0","0","0","0","0","0","0","0","A"
"M. LEGOUTIÈRE Pierre-Antoine","9 933","33 481","0","15 000","0","0","18 481","23 548","5 067","0","A"
"M. LESTERLIN Bernard","56 101","56 101","7 696","9 552","3 669","0","35 184","0","0","30 366","A"
"M. MORET Jean-Paul","0","0","0","0","0","0","0","0","0","0","A"
"M. NGUYEN Christian","24","24","0","15","9","0","0","0","0","0","A"
"Mme NICOD Marie-Thérèse","0","0","0","0","0","0","0","0","0","0","A"
"M. RAYNAUD Michel","0","0","0","0","0","0","0","0","0","0","A"
"Mme SCHURCH Mireille","33 496
33 450","35 425
35 379","4 161
4 161","0
0","0
0","0
0","31 264
31 218","1 929
1 929","0","29 289","AR"
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,
".",,,,,,,,,,,
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. VITTI Georges",,,,,,,,,"0","0","AD"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"20","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Allier - 3</i>","<i>Département : Allier </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 60 904","€",,,,,,,,,,
"Remboursement maximum : 30 452",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. BAUDRILLER Jean-Louis","22 351","22 351","0","0","0","0","22 351","0","0","0","A"
