"Candidat", "Dépenses totales", "Recettes totales", "Dons", "Apports partis", "Concours en nature", "Autres", "Apports personnel", "Soldes compte de campagne", "Dév (1)", "RFE (2)", "Déc. CNCCFP", "Circoncription", "Plafond de dépenses", "Remboursement maximum", "Scrutin"
"M. TREVILLOT Nicolas","11 756/8 395","11 763/8 402","6 500/6 500","0/0","0/0","0/0","5 263/1 902","7/7","0","0","AR","Aisne - 1","62 811","31 406 €","Scrutin non contesté"
"Mme AHMED-ALI Nora","0","0","0","0","0","0","0","0","0","0","A","Aisne - 2","64 399","32 200 €","Scrutin non contesté"
"Mme AURIGNY Nicole","0","0","0","0","0","0","0","0","0","0","A","Aisne - 2","64 399","32 200 €","Scrutin non contesté"
"M. BAHADDOU Ahmed",,,,,,,,,"0","0","AD","Aisne - 2","64 399","32 200 €","Scrutin non contesté"
"M. BERTRAND Xavier","55 769/55 696","56 048/55 975","28 713/28 713","9 700/9 700","1 135/1 135","0/0","16 500/16 427","279/279","0","16 148","AR","Aisne - 2","64 399","32 200 €","Scrutin non contesté"
"M. BETEMS Alain","0","0","0","0","0","0","0","0","0","0","A","Aisne - 2","64 399","32 200 €","Scrutin non contesté"
"Mme DALL’ARA Michèle","31 341/31 033","31 341/31 033","0/0","0/0","0/0","0/0","31 341/31 033","0/0","0","31 033","AR","Aisne - 2","64 399","32 200 €","Scrutin non contesté"
"Mme DESJOYAUX Carmel","0","0","0","0","0","0","0","0","0","0","A","Aisne - 2","64 399","32 200 €","Scrutin non contesté"
"Mme GRZEGRZULKA Odette","33 706/32 595","33 706/32 595","5 170/5 170","900/900","920/920","0/0","26 716/25 605","0/0","0","25 605","AR","Aisne - 2","64 399","32 200 €","Scrutin non contesté"
"M. GRZEZICZAK Freddy","2 970/2 750","3 000/3 000","1 500/1 500","1 500/1 500","0/0","0/0","0/0","30/250","250","0","AR","Aisne - 2","64 399","32 200 €","Scrutin non contesté"
"Mme GUILLET Marie-José","0","0","0","0","0","0","0","0","0","0","A","Aisne - 2","64 399","32 200 €","Scrutin non contesté"
"M. MOUSSET Franck","39","39","0","15","24","0","0","0","0","0","A","Aisne - 2","64 399","32 200 €","Scrutin non contesté"
"M. SENE Bertrand","0","0","0","0","0","0","0","0","0","0","A","Aisne - 2","64 399","32 200 €","Scrutin non contesté"
"M. TOURNAY Jean-Luc","17 415/12 248","17 415/17 415","13 105/13 105","4 310/4 310","0/0","0/0","0/0","0/5 167","770","0","AR","Aisne - 2","64 399","32 200 €","Scrutin non contesté"
"M. WARGNIER Daniel","0","0","0","0","0","0","0","0","0","0","A","Aisne - 2","64 399","32 200 €","Scrutin non contesté"
"Mlle ZANDITENAS Anne","263","263","0","240","23","0","0","0","0","0","A","Aisne - 2","64 399","32 200 €","Scrutin non contesté"
"M. BALLIGAND Jean-Pierre","34 797","34 797","8 547","900","7 283","0","18 067","0","0","18 067","A","Aisne - 3","62 579","31 290 €","Scrutin non contesté"
"Mme BALLOT Véronique","0","0","0","0","0","0","0","0","0","0","A","Aisne - 3","62 579","31 290 €","Scrutin non contesté"
"Mme CHOAIN Monique","0","0","0","0","0","0","0","0","0","0","A","Aisne - 3","62 579","31 290 €","Scrutin non contesté"
"Mme DELATTRE Valérie","0","0","0","0","0","0","0","0","0","0","A","Aisne - 3","62 579","31 290 €","Scrutin non contesté"
"Mme DEVAUX Ginette","2 727","2 727","0","2 727","0","0","0","0","0","0","A","Aisne - 3","62 579","31 290 €","Scrutin non contesté"
"Mme FAUVERGUE Nathalie","31 013","31 013","0","0","0","0","31 013","0","0","31 013","A","Aisne - 3","62 579","31 290 €","Scrutin non contesté"
"Mme FLAMENGT Andrée","0","0","0","0","0","0","0","0","0","0","A","Aisne - 3","62 579","31 290 €","Scrutin non contesté"
"M. LEGRIS Edwin","16 070","17 180","150","13 482","2 438","0","1 110","1 110","0","0","A","Aisne - 3","62 579","31 290 €","Scrutin non contesté"
"Mlle MAILLET Isabelle","0","0","0","0","0","0","0","0","0","0","A","Aisne - 3","62 579","31 290 €","Scrutin non contesté"
"M. MEURA Frédéric","41 103","41 103","750","9 700","0","0","30 653","0","0","30 653","A","Aisne - 3","62 579","31 290 €","Scrutin non contesté"
"M. PAILLER Marc","277","277","0","257","20","0","0","0","0","0","A","Aisne - 3","62 579","31 290 €","Scrutin non contesté"
"Mme REMY Raymonde","0","0","0","0","0","0","0","0","0","0","A","Aisne - 3","62 579","31 290 €","Scrutin non contesté"
"M. SEVERAC Dimitri","48","48","0","15","33","0","0","0","0","0","A","Aisne - 3","62 579","31 290 €","Scrutin non contesté"
"M. BESBAS Houssen","0","0","0","0","0","0","0","0","0","0","A","Aisne - 4","65 097","32 549 €","Scrutin non contesté"
"M. BOCQUET Vincent","0","0","0","0","0","0","0","0","0","0","A","Aisne - 4","65 097","32 549 €","Scrutin non contesté"
"M. DE SAINT-JUST Wallerand","31 628/31 191","32 887/32 450","0/0","0/0","0/0","0/0","32 887/32 450","1 259/1 259","0","31 191","AR","Aisne - 4","65 097","32 549 €","Scrutin non contesté"
"M. DESALLANGRE Jacques","52 569","52 569","0","950","0","0","51 619","0","0","32 549","A","Aisne - 4","65 097","32 549 €","Scrutin non contesté"
"M. ENGUEHARD Philippe",,,,,,,,,"0","0","AD","Aisne - 4","65 097","32 549 €","Scrutin non contesté"
"Mlle LE FLÉCHER Claire","30 302/28 901","30 302/28 901","2 205/2 205","0/0","1 500/1 500","0/0","26 597/25 196","0/0","0","25 196","AR","Aisne - 4","65 097","32 549 €","Scrutin non contesté"
"Mme LETRILLART Isabelle","2 800","2 800","2 320","0","0","0","480","0","0","480","A","Aisne - 4","65 097","32 549 €","Scrutin non contesté"
"M. LIÉNAUX Henri","0","0","0","0","0","0","0","0","0","0","A","Aisne - 4","65 097","32 549 €","Scrutin non contesté"
"M. NATANSON Dominique","24","24","0","15","9","0","0","0","0","0","A","Aisne - 4","65 097","32 549 €","Scrutin non contesté"
"M. SABLÉ Yannick","8 372/8 372","13 650/8 537","650/650","13 000/7 887","0/0","0/0","0/0","5 278/165","165","0","AR","Aisne - 4","65 097","32 549 €","Scrutin non contesté"
"M m e   T H U I N - M A C H E R E ZBrigitte","32 925/32 655","32 925/32 655","9 435/9 435","10 700/10 700","0/0","528/528","12 262/11 992","0/0","0","11 992","AR","Aisne - 4","65 097","32 549 €","Scrutin non contesté"
"Mme VOISIN Laëtitia","335","335","0","301","34","0","0","0","0","0","A","Aisne - 4","65 097","32 549 €","Scrutin non contesté"
"Mme ALLEGRAUD Aude","0","0","0","0","0","0","0","0","0","0","A","Aisne - 5","64 095","32 048 €","Scrutin non contesté"
"M. ALLIOUX Jean-Luc","7 090","7 090","320","3 085","0","0","3 685","0","0","0","A","Aisne - 5","64 095","32 048 €","Scrutin non contesté"
"M. BELLIERE Renaud","13 169/13 169","20 860/15 914","0/0","482/482","150/150","0/0","20 228/15 282","7 691/2 745","0","0","AR","Aisne - 5","64 095","32 048 €","Scrutin non contesté"
"M. BRIFFAUT Franck","30 713","30 713","0","0","0","0","30 713","0","0","30 713","A","Aisne - 5","64 095","32 048 €","Scrutin non contesté"
"M m e   C H A M B A U D   M a r i e -Thérèse","496","496","0","389","0","0","107","0","0","0","A","Aisne - 5","64 095","32 048 €","Scrutin non contesté"
"Mme DERYCKERE Annick","0","0","0","0","0","0","0","0","0","0","A","Aisne - 5","64 095","32 048 €","Scrutin non contesté"
"Mme FOURQUET Brigitte","24","24","0","15","9","0","0","0","0","0","A","Aisne - 5","64 095","32 048 €","Scrutin non contesté"
"Mme GERET Sylvie","235","235","0","232","3","0","0","0","0","0","A","Aisne - 5","64 095","32 048 €","Scrutin non contesté"
"M. JOURDAIN Dominique","52 864/52 453","52 864/52 453","10 594/10 594","1 561/1 561","3 074/3 074","18/18","37 617/37 206","0/0","0","32 048","AR","Aisne - 5","64 095","32 048 €","Scrutin non contesté"
"M. KRABAL Jacques","53 857/50 525","53 857/50 525","1 120/1 120","10 750/10 750","0/0","33/33","41 954/38 622","0/0","0","32 048","AR","Aisne - 5","64 095","32 048 €","Scrutin non contesté"
"M. PAPRITZ Olivier","0","0","0","0","0","0","0","0","0","0","A","Aisne - 5","64 095","32 048 €","Scrutin non contesté"
"M. REY Marc-Hervé","0","0","0","0","0","0","0","0","0","0","A","Aisne - 5","64 095","32 048 €","Scrutin non contesté"
"Mme VASSEUR Isabelle","53 619/53 407","53 619/53 407","10 125/10 125","9 700/9 700","6 805/6 805","0/0","26 989/26 777","0/0","0","26 777","AR","Aisne - 5","64 095","32 048 €","Scrutin non contesté"
"M. AUVRAY Hugues","360","360","300","0","0","0","60","0","0","0","A","Allier - 1","58 602","29 301 €","Scrutin non contesté"
"Mme BEAUNIEUX Michèle","18","65","0","15","0","0","50","47","0","0","A","Allier - 1","58 602","29 301 €","Scrutin non contesté"
"M. CABANNE Jacques","27 311/25 630","27 311/25 630","0/0","0/0","0/0","0/0","27 311/25 630","0/0","0","25 630","AR","Allier - 1","58 602","29 301 €","Scrutin non contesté"
"M. CHAMBEFORT Guy","37 516/36 172","47 068/45 724","19 366/19 366","0/0","0/0","3/3","27 699/26 355","9 552/9 552","0","16 803","AR","Allier - 1","58 602","29 301 €","Scrutin non contesté"
"Mme CORGIE Suzanne","0","0","0","0","0","0","0","0","0","0","A","Allier - 1","58 602","29 301 €","Scrutin non contesté"
"M. DARMANGEAT Christophe","651","651","0","651","0","0","0","0","0","0","A","Allier - 1","58 602","29 301 €","Scrutin non contesté"
"Mlle DE CONDÉ Carla","2 035","2 035","0","0","0","0","2 035","0","0","0","A","Allier - 1","58 602","29 301 €","Scrutin non contesté"
"Mme DEMURE Danielle","13 711/13 640","13 711/13 640","210/210","0/0","0/0","0/0","13 501/13 430","0/0","0","13 430","AR","Allier - 1","58 602","29 301 €","Scrutin non contesté"
"M. DEVILLE Serge","0","0","0","0","0","0","0","0","0","0","A","Allier - 1","58 602","29 301 €","Scrutin non contesté"
"Mme GENOT Judith","0","0","0","0","0","0","0","0","0","0","A","Allier - 1","58 602","29 301 €","Scrutin non contesté"
"M. GUILLAUMIN Jean-Marie","0","0","0","0","0","0","0","0","0","0","A","Allier - 1","58 602","29 301 €","Scrutin non contesté"
"M. MATICHARD Gérard","583","590","50","140","0","0","400","7","0","0","A","Allier - 1","58 602","29 301 €","Scrutin non contesté"
"Mlle MAYRARGUE Delphine","30 292/29 321","30 292/29 321","0/0","1 326/1 326","4 152/4 152","0/0","24 814/23 843","0/0","0","23 843","AR","Allier - 1","58 602","29 301 €","Scrutin non contesté"
"Mme MIALLET Michelle","0","0","0","0","0","0","0","0","0","0","A","Allier - 1","58 602","29 301 €","Scrutin non contesté"
"M. PÉRISSOL Pierre-André","42 387","42 387","1 300","10 700","111","0","30 276","0","0","29 301","A","Allier - 1","58 602","29 301 €","Scrutin non contesté"
"M. ALBERT Michel","0","0","0","0","0","0","0","0","0","0","A","Allier - 2","60 731","30 366 €","Scrutin non contesté"
"Mme AUBERT-DASSE Claudy","636","636","80","330","0","0","226","0","0","0","A","Allier - 2","60 731","30 366 €","Scrutin non contesté"
"Mme CORNET Monique","0","0","0","0","0","0","0","0","0","0","A","Allier - 2","60 731","30 366 €","Scrutin non contesté"
"Mlle DREYFUS Véronique","314","314","0","263","51","0","0","0","0","0","A","Allier - 2","60 731","30 366 €","Scrutin non contesté"
"M. DUGLÉRY Daniel","51 301/48 469","51 405/48 573","26 705/26 705","9 700/9 700","0/0","0/0","15 000/12 168","104/104","0","12 064","AR","Allier - 2","60 731","30 366 €","Scrutin non contesté"
"Mme FALCON Agnès","235","300","0","0","0","0","300","65","0","0","A","Allier - 2","60 731","30 366 €","Scrutin non contesté"
"Mlle LAZAREVIC Vesna","0","0","0","0","0","0","0","0","0","0","A","Allier - 2","60 731","30 366 €","Scrutin non contesté"
"M. LEGOUTIÈRE Pierre-Antoine","9 933","33 481","0","15 000","0","0","18 481","23 548","5 067","0","A","Allier - 2","60 731","30 366 €","Scrutin non contesté"
"M. LESTERLIN Bernard","56 101","56 101","7 696","9 552","3 669","0","35 184","0","0","30 366","A","Allier - 2","60 731","30 366 €","Scrutin non contesté"
"M. MORET Jean-Paul","0","0","0","0","0","0","0","0","0","0","A","Allier - 2","60 731","30 366 €","Scrutin non contesté"
"M. NGUYEN Christian","24","24","0","15","9","0","0","0","0","0","A","Allier - 2","60 731","30 366 €","Scrutin non contesté"
"Mme NICOD Marie-Thérèse","0","0","0","0","0","0","0","0","0","0","A","Allier - 2","60 731","30 366 €","Scrutin non contesté"
"M. RAYNAUD Michel","0","0","0","0","0","0","0","0","0","0","A","Allier - 2","60 731","30 366 €","Scrutin non contesté"
"Mme SCHURCH Mireille","33 496/33 450","35 425/35 379","4 161/4 161","0/0","0/0","0/0","31 264/31 218","1 929/1 929","0","29 289","AR","Allier - 2","60 731","30 366 €","Scrutin non contesté"
"M. VITTI Georges",,,,,,,,,"0","0","AD","Allier - 2","60 731","30 366 €","Scrutin non contesté"
"M. BAUDRILLER Jean-Louis","22 351","22 351","0","0","0","0","22 351","0","0","0","A","Allier - 3","60 904","30 452 €","Scrutin non contesté"
"M. BIDET Dominique","36 080/34 957","36 080/34 957","7 630/7 630","0/0","0/1 784","35/35","28 415/25 508","0/0","0","25 508","AR","Allier - 3","60 904","30 452 €","Scrutin non contesté"
"M. BOYER Marc","0","0","0","0","0","0","0","0","0","0","A","Allier - 3","60 904","30 452 €","Scrutin non contesté"
"M. CASTANIER Charles",,,,,,,,,"0","0","AD","Allier - 3","60 904","30 452 €","Scrutin non contesté"
"Mme CHAMBEAU Anne-Marie","769","769","0","225","176","0","368","0","0","0","A","Allier - 3","60 904","30 452 €","Scrutin non contesté"
"Mme DERIS- TARGON Véro-nique","0","0","0","0","0","0","0","0","0","0","A","Allier - 3","60 904","30 452 €","Scrutin non contesté"
"Mme GAILLARDON Françoise","15","15","0","15","0","0","0","0","0","0","A","Allier - 3","60 904","30 452 €","Scrutin non contesté"
"M. GUILLAUMIN Gérard-Pierre","0","0","0","0","0","0","0","0","0","0","A","Allier - 3","60 904","30 452 €","Scrutin non contesté"
"M. JOLY Claude","26 681","26 766","930","0","131","0","25 705","85","0","0","R","Allier - 3","60 904","30 452 €","Scrutin non contesté"
"M. LEBEL Bernard","296","296","0","293","3","0","0","0","0","0","A","Allier - 3","60 904","30 452 €","Scrutin non contesté"
"M. MALLOT Jean","34 383/35 341","34 383/35 341","635/635","2 139/2 139","3 457/4 803","0/0","28 152/27 764","0/0","0","27 764","AR","Allier - 3","60 904","30 452 €","Scrutin non contesté"
"Mme MARNAY Mireille","0","0","0","0","0","0","0","0","0","0","A","Allier - 3","60 904","30 452 €","Scrutin non contesté"
"M. SIMON Yves","48 298","48 298","14 180","1 700","782","0","31 636","0","0","30 452","A","Allier - 3","60 904","30 452 €","Scrutin non contesté"
"Mlle BÈGE Sophie","19 217/14 888","19 217/17 180","2 180/2 180","15 000/15 000","0/0","0/0","2 037/0","0/2 292","71","0","AR","Allier - 4","60 139","30 070 €","Scrutin non contesté"
"M. CHARASSE Gérard","38 547/38 093","38 547/38 093","10 430/10 430","0/0","0/0","9/9","28 108/27 654","0/0","0","27 654","AR","Allier - 4","60 139","30 070 €","Scrutin non contesté"
"M. DE CONDÉ Louis","24 424","24 424","100","0","0","0","24 324","0","0","0","A","Allier - 4","60 139","30 070 €","Scrutin non contesté"
"M. DE PORTEBANE Marc-Claude",,,,,,,,,"0","0","AD","Allier - 4","60 139","30 070 €","Scrutin non contesté"
"M. MALHURET Claude","43 360","43 360","5 094","9 700","1 395","0","27 171","0","0","27 171","A","Allier - 4","60 139","30 070 €","Scrutin non contesté"
"M. MAYADOUX Jacques","0","0","0","0","0","0","0","0","0","0","A","Allier - 4","60 139","30 070 €","Scrutin non contesté"
"M. PEYRON Albert","0","0","0","0","0","0","0","0","0","0","A","Allier - 4","60 139","30 070 €","Scrutin non contesté"
"Mme PICOULEAU Nadine","0","0","0","0","0","0","0","0","0","0","A","Allier - 4","60 139","30 070 €","Scrutin non contesté"
"Mme ROCHE Monique","267","267","0","263","4","0","0","0","0","0","A","Allier - 4","60 139","30 070 €","Scrutin non contesté"
"M. RONDEPIERRE Daniel","584","584","200","155","0","0","229","0","0","0","A","Allier - 4","60 139","30 070 €","Scrutin non contesté"
"Mme SEMET Pascale","17 938/16 203","17 938/16 203","0/0","0/0","0/0","0/0","17 938/16 203","0/0","0","0","AR","Allier - 4","60 139","30 070 €","Scrutin non contesté"
"M. VACHERON Thomas","32","32","0","15","17","0","0","0","0","0","A","Allier - 4","60 139","30 070 €","Scrutin non contesté"
"M. VITTI Louis",,,,,,,,,"0","0","AD","Allier - 4","60 139","30 070 €","Scrutin non contesté"
"Mlle ALONSO Caroline","248","248","0","248","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 1","56 779","28 390 €","Scrutin non contesté"
"Mme BARREILLE Eliane","25 303/25 248","25 809/25 754","2 985/2 985","11 700/11 700","1 092/1 092","0/0","10 032/9 977","506/506","0","9 471","AR","Alpes-de-Haute-Provence - 1","56 779","28 390 €","Scrutin non contesté"
"M. BIANCO Jean-Louis","22 906","22 906","4 390","1 684","5 909","0","10 923","0","0","10 923","A","Alpes-de-Haute-Provence - 1","56 779","28 390 €","Scrutin non contesté"
"Mme CHANGEUX-PANISSEMicheline","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 1","56 779","28 390 €","Scrutin non contesté"
"M. CHUISANO Noël","2 538","2 538","0","2 538","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 1","56 779","28 390 €","Scrutin non contesté"
"Mme DANIEL Monique","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 1","56 779","28 390 €","Scrutin non contesté"
"Mlle HERNANDEZ Aurore","6 594","6 800","700","6 100","0","0","0","206","0","0","A","Alpes-de-Haute-Provence - 1","56 779","28 390 €","Scrutin non contesté"
"M. JEANSELME Bernard","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 1","56 779","28 390 €","Scrutin non contesté"
